Name          | ISO             | Publication        | Description (Full STD Title)
Z.900-2025    | (none)          | (10/2025)          | Groupoid Infinity Axio: Introduction to Software Verification
Z.911-2026    | (none)          | (04/2026)          | Groupoid Infinity Axio: Henk Programming Language
Z.918-2026    | (none)          | (04/2026)          | Groupoid Infinity Axio: Frank Programming Language
Z.928-2026    | (none)          | (04/2026)          | Groupoid Infinity Axio: Per Programming Language
Z.944-2026    | (none)          | (04/2026)          | Groupoid Infinity Axio: Christine Programming Language
Z.956-2026    | (none)          | (04/2026)          | Groupoid Infinity Axio: Anders Programming Language
Z.999-2026    | (none)          | (04/2026)          | Groupoid Infinity Axio: System Policy
Z.180         | (none)          | (04/2026)          | Zen Crypted Dharma Test Atomation Language Z.180 / MSC Z.120 Extension
X.422-2026    | (none)          | (04/2026)          | Zen Crypted Buddha Protocol: Introduction
X.422.1-2026  | (none)          | (04/2026)          | Zen Crypted Buddha Protocol: Layer 1: Skynet Serverless Multicast
X.422.2-2026  | (none)          | (04/2026)          | Zen Crypted Buddha Protocol: Layer 2: Brokered TLS & PKI
X.422.3-2026  | (none)          | (04/2026)          | Zen Crypted Buddha Protocol: Layer 3: MHS/IPMS Mail Delivery System
